Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW65N13,60.33,1.38E-06,22.15328168,25.13,1.13449292,535.0662067,607.0288235,2.17E+01,0.040587784,2.25708502,7.459119497,9.28E-02,3.304757876
GW65N13,59.64,1.37E-06,21.98224648,28.27,1.286234958,530.9352091,682.9074265,2.03E+01,0.03826653,2.150205761,6.87654321,8.88E-02,3.198086124
GW65N13,60.43,1.38E-06,22.17801631,34.56,1.558188014,535.6636201,834.6646324,1.85E+01,0.034613379,1.950819672,6.25625,8.06E-02,3.206985294
GW65N13,60.43,1.38E-06,22.17801631,37.7,1.69984147,535.6636201,910.5432353,1.78E+01,0.033139787,1.943037975,5.97515528,7.73E-02,3.075161349
GW65N13,60.41,1.38E-06,22.17307045,40.84,1.841905684,535.5441633,986.4218382,1.71E+01,0.031839678,1.81120332,5.7375,7.43E-02,3.167783505
GW65N13,60.36,1.38E-06,22.16070347,43.98,1.984697697,535.2454647,1062.300441,1.64E+01,0.030681481,1.679282869,5.572327044,7.10E-02,3.318277789
GW65N13,60.51,1.38E-06,22.19779441,47.12,2.122908652,536.1413187,1138.179044,1.59E+01,0.029641127,1.633603239,5.228395062,7.08E-02,3.200529319
GW65N13,60.33,1.38E-06,22.15328168,50.27,2.268985841,535.0662067,1214.057647,1.54E+01,0.028699897,1.596385542,5.136645963,6.74E-02,3.217672565
GW65N13,60.33,1.38E-06,22.15328168,53.41,2.410797456,535.0662067,1289.93625,1.49E+01,0.02784299,1.557142857,4.9875,6.53E-02,3.202981651
GW65N13,60.33,1.38E-06,22.15328168,56.55,2.552609071,535.0662067,1365.814853,1.45E+01,0.027058523,1.536734694,4.679012346,6.58E-02,3.04477563
GW65N13,60.2,1.37E-06,22.12110665,59.69,2.698339707,534.2890861,1441.693456,1.41E+01,0.026336832,1.487804878,4.509202454,6.45E-02,3.03077542
